lat_grid,lon_grid,violation_density,avg_congestion_prob,record_count
12.99,77.75,102.0,0.9999999921533028,1
12.98,77.71,246.0,0.9999999914298617,1
12.87,77.67,8.0,0.9999999816294011,1
12.93,77.5,14.0,0.9999999770350633,1
12.98,77.61,20166.0,0.9999999606367554,4058
13.01,77.56,1300.0,0.9999999599674778,261
13.01,77.57,3911.0,0.9999999557143476,747
13.01,77.55,9211.0,0.9999999466637306,1854
13.0,77.57,3999.0,0.999999941447548,769
12.98,77.58,24378.0,0.9999999363770753,4756
13.07,77.59,6213.0,0.9999999295275988,1241
13.0,77.61,2085.0,0.9999999138356854,403
12.98,77.57,6217.0,0.9999999039687132,1226
13.04,77.59,3005.0,0.999999903803495,554
12.97,77.58,11729.0,0.9999999022721076,2312
13.06,77.59,1303.0,0.9999999013308931,248
13.03,77.59,902.0,0.9999999006167339,177
13.05,77.59,670.0,0.9999999002753678,129
12.96,77.67,324.0,0.9999998995178436,69
12.94,77.69,1358.0,0.9999998903933397,278
12.93,77.68,2227.0,0.9999998888343007,438
12.93,77.69,9106.0,0.9999998863323444,1855
13.0,77.55,9401.0,0.9999998858551629,1691
12.84,77.65,1534.0,0.9999998815986184,292
13.19,77.68,2026.0,0.9999998791780389,423
12.96,77.7,1881.0,0.9999998706540757,390
13.18,77.68,2793.0,0.9999998706002009,558
12.98,77.6,7395.0,0.9999998701388422,1481
13.03,77.58,566.0,0.9999998615146217,101
13.01,77.69,2456.0,0.9999998588026804,513
13.01,77.7,2935.0,0.9999998511680257,583
13.0,77.69,665.0,0.9999998507913848,140
13.0,77.68,2126.0,0.9999998428023217,430
13.09,77.59,399.0,0.9999998411581743,92
12.97,77.72,714.0,0.9999998410681189,145
12.99,77.57,2234.0,0.9999998389291264,490
13.03,77.57,820.0,0.9999998387706868,148
12.98,77.7,370.0,0.999999836905265,68
12.99,77.61,1130.0,0.9999998326795201,222
12.91,77.68,451.0,0.9999998240763368,95
13.01,77.54,331.0,0.9999998240003707,47
13.0,77.7,869.0,0.9999998189461913,200
13.02,77.59,718.0,0.999999817403932,157
12.88,77.65,442.0,0.9999998158130119,91
12.9,77.68,713.0,0.9999998139652437,149
12.96,77.58,16316.0,0.9999998064907722,3056
12.92,77.67,839.0,0.9999998044115186,170
12.94,77.7,2822.0,0.9999997991283517,565
12.99,77.66,957.0,0.9999997934335836,206
12.95,77.7,1493.0,0.9999997923408144,296
